GSvolume_pa_composition_average,ML pred ASR barrier (eV),IsRareEarth_composition_average,IsFBlock_composition_average,NdUnfilled_composition_average,CovalentRadii_composition_average,BCCfermi_composition_average,GSenergy_pa_composition_average,AtomicVolume_arithmetic_average,ThermalExpansionCoefficient_arithmetic_average,ICSDVolume_composition_average,valence_composition_average,HeatFusion_composition_average,CovalentRadius_composition_average,phi_difference,HHIr_composition_average,ThermalConductivity_arithmetic_average,HeatFusion_arithmetic_average,ElectricalConductivity_composition_average,HHIr_arithmetic_average,Electrolyte class_2,GSestFCClatcnt_composition_average,HHIp_composition_average,SecondIonizationEnergy_arithmetic_average,ElectricalConductivity_difference
19.52683673469388,1.134531099,0.0,0.0,0.7142857142857142,1.0514285714285714,3.416132312653061,-4.821274933775509,3739.588361359413,166.54,24.559183673469384,2.3673469387755097,4.93265306122449,106.63265306122447,2.78,1351.020408163265,50.51348,13.47,3.663265306122448,3140.0,0.0,3.913790429142857,1571.428571428571,18.5362,15.099999999999998
21.98483333333333,1.258738249,0.0,0.0,0.7666666666666666,1.112888888888889,3.415814430555556,-4.591348627722223,3745.731015769601,167.4,26.608888888888888,2.2444444444444445,5.201177777777778,113.66666666666666,2.78,1465.5555555555557,28.46748,9.7492,4.046666666666666,3200.0,0.0,4.056477317977778,1711.1111111111113,18.3336,17.0
20.068800000000003,1.263385158,0.0,0.0,0.8,1.0656,3.4673047528,-4.89612454005,4677.970250109028,208.675,25.093,2.8,4.332199999999999,108.61,2.61,1032.0,74.71685000000001,7.422499999999999,3.085,1425.0,0.0,3.94617909126,1389.0,18.293,28.5
20.2041,1.086717546,0.0,0.0,0.76,1.0683,3.4867724948000003,-4.839937716050001,3747.5927317193,173.36,25.237,2.77,4.227009999999999,108.71,2.61,1038.0,76.09347999999999,6.5962,3.007,1540.0,0.0,3.95712017443,1398.0,18.4082,28.5
22.978,1.44558847,0.1,0.1,1.3,1.116,3.174698026,-4.544984996,4675.932078652993,204.4,27.55,2.6,3.483,116.2,2.61,1210.0,27.56685,6.6525,1.82,1825.0,0.0,4.136255178000001,2090.0,18.038,9.8
19.476020408163265,1.082027388,0.0,0.0,0.693877551020408,1.0506122448979591,3.49236039,-4.836637918265305,3739.088110900911,166.04,24.50612244897959,2.387755102040816,5.085306122448979,106.42857142857142,2.78,1279.5918367346935,67.37347999999999,14.966,3.881632653061224,2440.0,0.0,3.9097089822857134,1446.938775510204,18.9644,15.099999999999998
20.4178,1.27479556,0.0,0.0,0.72,1.0702,3.386024054,-4.7874217846,3739.588361359413,166.54,25.336,2.42,4.928599999999999,108.92,2.78,1344.0,50.51348,13.47,3.512,3140.0,0.0,3.96330629454,1586.0,18.5362,15.099999999999998
20.4081,1.17159768,0.0,0.0,0.7,1.07,3.3798024801999995,-4.7633198803,3739.588361359413,166.54,25.324,2.3600000000000003,4.976399999999999,108.8,2.78,1370.0,50.51348,13.47,3.646,3140.0,0.0,3.96223494256,1600.0,18.5362,15.099999999999998
20.4081,1.245413458,0.0,0.0,0.7,1.07,3.3798024801999995,-4.7633198803,3739.588361359413,166.54,25.324,2.3600000000000003,4.976399999999999,108.8,2.78,1370.0,50.51348,13.47,3.646,3140.0,1.0,3.96223494256,1600.0,18.5362,15.099999999999998
20.44318,1.242322278,0.0,0.0,0.7399999999999999,1.07092,3.37880082916,-4.6951635965800005,3740.989796947069,167.08,25.4072,2.332,4.65724,108.768,2.78,1271.6,42.93348,10.29,3.5827999999999998,2280.0,0.0,3.96417992566,1527.6,18.2322,16.4
